A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1640198
Episode 267, Reward: -21.0, Mean Loss: 5.4273746700187, Number of Steps: 764
Episode 268, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 269, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 270, Reward: -21.0, Mean Loss: 5.395679988162056, Number of Steps: 764
Episode 271, Reward: -21.0, Mean Loss: 5.410337542988243, Number of Steps: 764
Episode 272, Reward: -21.0, Mean Loss: 5.403008765575149, Number of Steps: 764
Episode 273, Reward: -21.0, Mean Loss: 5.490954094532273, Number of Steps: 764
Episode 274, Reward: -21.0, Mean Loss: 5.451930635262534, Number of Steps: 764
Episode 275, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 276, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 277, Reward: -21.0, Mean Loss: 5.476296539706086, Number of Steps: 764
Episode 278, Reward: -21.0, Mean Loss: 5.52045926498493, Number of Steps: 764
Episode 279, Reward: -21.0, Mean Loss: 5.403008765575149, Number of Steps: 764
Episode 280, Reward: -21.0, Mean Loss: 5.454310207466804, Number of Steps: 764
Episode 281, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 282, Reward: -21.0, Mean Loss: 5.473916967501815, Number of Steps: 764
Episode 283, Reward: -21.0, Mean Loss: 5.442032224844888, Number of Steps: 764
Episode 284, Reward: -21.0, Mean Loss: 5.486004889323449, Number of Steps: 764
Episode 285, Reward: -21.0, Mean Loss: 5.449361002257981, Number of Steps: 764
Episode 286, Reward: -21.0, Mean Loss: 5.456689779671075, Number of Steps: 764
Episode 287, Reward: -21.0, Mean Loss: 5.412717115192513, Number of Steps: 764
Episode 288, Reward: -21.0, Mean Loss: 5.473916967501815, Number of Steps: 764
Episode 289, Reward: -21.0, Mean Loss: 5.417666320401336, Number of Steps: 764
Episode 290, Reward: -21.0, Mean Loss: 5.42261552561016, Number of Steps: 764
Episode 291, Reward: -21.0, Mean Loss: 5.412717115192513, Number of Steps: 764
Episode 292, Reward: -21.0, Mean Loss: 5.410337542988243, Number of Steps: 764
Episode 293, Reward: -21.0, Mean Loss: 5.4273746700187, Number of Steps: 764
Episode 294, Reward: -21.0, Mean Loss: 5.412717115192513, Number of Steps: 764
Episode 295, Reward: -21.0, Mean Loss: 5.542255536423927, Number of Steps: 764
Episode 296, Reward: -21.0, Mean Loss: 5.493523727536826, Number of Steps: 764
Episode 297, Reward: -21.0, Mean Loss: 5.493523727536826, Number of Steps: 764
Episode 298, Reward: -21.0, Mean Loss: 5.476296539706086, Number of Steps: 764
Episode 299, Reward: -21.0, Mean Loss: 5.40538833777942, Number of Steps: 764
Episode 300, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 301, Reward: -21.0, Mean Loss: 5.388351210748962, Number of Steps: 764
Episode 302, Reward: -21.0, Mean Loss: 5.434703447431794, Number of Steps: 764
Episode 303, Reward: -21.0, Mean Loss: 5.407957970783973, Number of Steps: 764
Episode 304, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 305, Reward: -21.0, Mean Loss: 5.461638984879898, Number of Steps: 764
Episode 306, Reward: -21.0, Mean Loss: 5.449361002257981, Number of Steps: 764
Episode 307, Reward: -21.0, Mean Loss: 5.481245744914909, Number of Steps: 764
Episode 308, Reward: -21.0, Mean Loss: 5.383402005540138, Number of Steps: 764
Episode 309, Reward: -21.0, Mean Loss: 5.537496392015387, Number of Steps: 764
Episode 310, Reward: -21.0, Mean Loss: 5.434703447431794, Number of Steps: 764
Episode 311, Reward: -21.0, Mean Loss: 5.490954094532273, Number of Steps: 764
Episode 312, Reward: -21.0, Mean Loss: 5.464018557084168, Number of Steps: 764
Episode 313, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
